,month,day,Date,Class,Lat,Lon,Max wind,Min pres,SST,UWND,VWND,rhum,airtemp,unique-key
0,6,2,1200, TD,21.7,87.1,20,1005,27.51,-4.149993896000001,1.580001831,78.38000488,300.0800171,            ALBERTO-1982
1,6,2,1800, TD,22.2,86.5,25,1004,28.15,-4.149993896000001,1.580001831,78.38000488,300.0800171,            ALBERTO-1982
2,6,3,0, TD,22.6,85.8,30,1003,27.47,-1.160003662,7.429992676,82.72999573,300.39999389999997,            ALBERTO-1982
3,6,3,600, TS,22.8,85.0,40,1001,27.0,-1.160003662,7.429992676,82.72999573,300.39999389999997,            ALBERTO-1982
4,6,3,1200, TS,23.2,84.2,50,995,26.99,-1.160003662,7.429992676,82.72999573,300.39999389999997,            ALBERTO-1982
5,6,3,1800, HU,24.0,83.6,75,985,26.99,-1.150009155,8.75,84.33000183,299.4599915,            ALBERTO-1982
6,6,4,0, HU,24.8,83.4,65,992,27.49,-0.38000488299999996,6.339996338,84.47000122,299.2799988,            ALBERTO-1982
7,6,4,600, TS,24.9,84.1,55,998,27.699999,-1.729995728,1.770004272,78.19999695,299.53997799999996,            ALBERTO-1982
8,6,4,1200, TS,24.9,84.8,45,1002,26.57,-1.729995728,1.770004272,78.19999695,299.53997799999996,            ALBERTO-1982
9,6,4,1800, TS,25.0,84.2,40,1005,27.55,-1.729995728,1.770004272,78.19999695,299.53997799999996,            ALBERTO-1982
10,6,5,0, TD,25.1,84.1,30,1007,27.14,0.49000549299999996,0.619995117,78.99000549,300.69000239999997,            ALBERTO-1982
11,6,5,600, TD,25.2,84.0,25,1008,27.099998,0.49000549299999996,0.619995117,78.99000549,300.69000239999997,            ALBERTO-1982
12,6,5,1200, TD,25.3,83.9,25,1009,27.099998,0.49000549299999996,0.619995117,78.99000549,300.69000239999997,            ALBERTO-1982
13,6,5,1800, TD,25.4,83.6,25,1010,25.869999,1.919998169,4.970001221,81.11000061,300.4100037,            ALBERTO-1982
14,6,6,0, TD,25.5,83.3,25,1010,25.439999,2.8099975589999997,1.380004883,77.72000122,301.17999269999996,            ALBERTO-1982
15,6,6,600, TD,25.5,83.0,25,1010,25.31,2.8099975589999997,1.380004883,77.72000122,301.17999269999996,            ALBERTO-1982
16,6,6,1200, TD,25.5,82.6,20,1010,25.81,2.8099975589999997,1.380004883,77.72000122,301.17999269999996,            ALBERTO-1982
17,8,28,1200, TD,13.7,22.2,30,1008,26.0,-2.570007324,4.13999939,98.0,297.0,              BERYL-1982
18,8,28,1800, TS,13.9,22.7,35,1006,26.849998,-16.05000305,0.13000488300000002,95.55999756,297.35998539999997,              BERYL-1982
19,8,29,0, TS,14.1,23.6,35,1005,27.039998999999998,-5.740005493,7.959991455,98.0,299.0800171,              BERYL-1982
20,8,29,600, TS,14.5,24.9,40,1003,26.22,-8.059997559,4.5,98.0,298.0499878,              BERYL-1982
21,8,29,1200, TS,14.9,26.3,45,1002,25.47,-10.55999756,-2.160003662,94.45999146,298.61999510000004,              BERYL-1982
22,8,29,1800, TS,15.3,27.7,45,1000,25.75,-10.55999756,-2.160003662,94.45999146,298.61999510000004,              BERYL-1982
23,8,30,0, TS,15.7,29.1,50,999,25.66,-7.830001831000001,0.559997559,94.31999207,300.9599915,              BERYL-1982
24,8,30,600, TS,16.0,30.6,50,998,25.75,-7.830001831000001,0.559997559,94.31999207,300.9599915,              BERYL-1982
25,8,30,1200, TS,16.3,32.1,50,996,26.189999,-13.1000061,-3.2200012210000004,88.41000366,300.98999019999997,              BERYL-1982
26,8,30,1800, TS,16.7,33.6,55,995,25.42,-13.1000061,-3.2200012210000004,88.41000366,300.98999019999997,              BERYL-1982
27,8,31,0, TS,17.0,35.0,55,993,26.029999,-8.880004883,1.669998169,94.88000488,299.89999389999997,              BERYL-1982
28,8,31,600, TS,17.2,36.4,60,992,26.349998,-10.88000488,-6.540008545,93.1499939,299.6699829,              BERYL-1982
29,8,31,1200, TS,17.7,37.8,60,991,25.949999,-10.88000488,-6.540008545,93.1499939,299.6699829,              BERYL-1982
30,8,31,1800, TS,18.0,39.0,60,990,26.33,-12.22999573,-10.22000122,87.58999634,299.76000980000003,              BERYL-1982
31,9,1,0, TS,18.3,40.0,60,989,26.109999,-5.0200042719999995,9.630004883,96.45999146,295.89001460000003,              BERYL-1982
32,9,1,600, TS,18.6,40.9,60,998,26.17,-5.0200042719999995,9.630004883,96.45999146,295.89001460000003,              BERYL-1982
33,9,1,1200, TS,18.8,41.7,60,998,26.18,-10.61999512,2.919998169,92.69999695,294.7999878,              BERYL-1982
34,9,1,1800, TS,19.0,42.4,60,990,26.109999,-10.61999512,2.919998169,92.69999695,294.7999878,              BERYL-1982
35,9,2,0, TS,19.2,43.2,55,994,26.619999,-4.779998779,16.19000244,96.22000122,297.2000122,              BERYL-1982
36,9,2,600, TS,19.4,44.1,45,1000,26.15,-6.029998779,4.86000061,98.0,296.92999269999996,              BERYL-1982
37,9,2,1200, TS,19.7,45.1,35,1005,27.279999,-6.029998779,4.86000061,98.0,296.92999269999996,              BERYL-1982
38,9,2,1800, TD,19.9,46.2,30,1008,26.849998,-6.029998779,4.86000061,98.0,296.92999269999996,              BERYL-1982
39,9,3,0, TD,20.1,47.4,30,1009,27.039998999999998,-5.100006103999999,4.339996338,98.0,299.2799988,              BERYL-1982
40,9,3,600, TD,20.1,48.6,30,1009,26.859999,-5.100006103999999,4.339996338,98.0,299.2799988,              BERYL-1982
